iter	Logloss
0	0.6925552475
1	0.6918675951
2	0.6912649465
3	0.6906351269
4	0.6900435911
5	0.689320564
6	0.6887598646
7	0.6881460451
8	0.6876005311
9	0.6870562972
10	0.6865683834
11	0.6860487022
12	0.685573123
13	0.685140133
14	0.6846688592
15	0.6842430837
16	0.6837689008
17	0.6832264124
18	0.6830636193
19	0.6824478797
20	0.6820251879
21	0.681446743
22	0.6809979856
23	0.6805519628
24	0.6800869145
25	0.679556877
26	0.679096076
27	0.6786380677
28	0.6782467359
29	0.6778260804
30	0.677507127
31	0.6772901665
32	0.6768815547
33	0.6765514885
34	0.6760973202
35	0.675699763
36	0.6753310058
37	0.6749721396
38	0.6746088515
39	0.6742752944
40	0.673840268
41	0.6734684853
42	0.6730738954
43	0.6726902436
44	0.67228105
45	0.6718929182
46	0.6716150412
47	0.6711974694
48	0.6709293088
49	0.6705612498
50	0.6703192129
51	0.6702370018
52	0.6700114886
53	0.6697045788
54	0.6695672113
55	0.6692913707
56	0.6689920245
57	0.6686467147
58	0.6683231649
59	0.668037317
60	0.6677883564
61	0.6674279774
62	0.6671978678
63	0.6668607035
64	0.6666047611
65	0.6663342732
66	0.666062389
67	0.6658234357
68	0.6656266062
69	0.665389922
70	0.6651557979
71	0.6648623281
72	0.6646881314
73	0.6644316654
74	0.6642363486
75	0.6640370172
76	0.6638801005
77	0.6636712273
78	0.6634552559
79	0.6632310227
80	0.6630760842
81	0.6628260764
82	0.6626269196
83	0.6624533046
84	0.6622316314
85	0.6620001254
86	0.6617656522
87	0.6615500881
88	0.6613671059
89	0.6611549163
90	0.6609127049
91	0.660709068
92	0.6605598895
93	0.6603330381
94	0.6601689068
95	0.6600308993
96	0.6598407607
97	0.6596352038
98	0.6594677562
99	0.6592819231
100	0.6590771808
101	0.6588912895
102	0.6587322782
103	0.658576467
104	0.6584149539
105	0.6582270262
106	0.6580281603
107	0.6578694981
108	0.6576861668
109	0.657556072
110	0.6574256862
111	0.6572609731
112	0.6571104564
113	0.6569701216
114	0.6568432268
115	0.6567149356
116	0.6566038662
117	0.6564709205
118	0.6563305275
119	0.656210789
120	0.6560568978
121	0.6559439084
122	0.6558000245
123	0.655680286
124	0.6554876456
125	0.655374889
126	0.6552733033
127	0.6551196448
128	0.6550021172
129	0.6548545678
130	0.6547245894
131	0.6545833818
132	0.6544650979
133	0.6543263921
134	0.6542010682
135	0.6540852861
136	0.6539251112
137	0.6537460854
138	0.6536386815
139	0.6535172558
140	0.6533862882
141	0.6532253569
142	0.6531320331
143	0.6529736618
144	0.6528651525
145	0.6527999887
146	0.6526858939
147	0.6526427811
148	0.6525345045
149	0.6524286134
150	0.6523321477
151	0.6521813401
152	0.6520604962
153	0.6519700814
154	0.6518692521
155	0.6517951283
156	0.6516878408
157	0.6515748515
158	0.6514821095
159	0.65133648
160	0.6512363489
161	0.6511612942
162	0.6510858322
163	0.651037483
164	0.6509380501
165	0.6508223844
166	0.6506883913
167	0.6506122894
168	0.6505571911
169	0.6504397799
170	0.6503403469
171	0.6502388776
172	0.6501105282
173	0.6500222662
174	0.6499418588
175	0.6498778586
176	0.649764462
177	0.64967172
178	0.6495662361
179	0.6494179303
180	0.6493546284
181	0.6492884755
182	0.6491710062
183	0.6490974642
184	0.6489495075
185	0.648883471
186	0.6487887508
187	0.6486764596
188	0.6486211868
189	0.6485620739
190	0.6484825974
191	0.6484034699
192	0.6483148006
193	0.648234975
194	0.648157593
195	0.6480910329
196	0.6480240073
197	0.6479264943
198	0.6478666251
199	0.6478204868
200	0.6477190175
201	0.6476319773
202	0.6475498826
203	0.6474623188
204	0.647369344
205	0.6473148857
206	0.6472909729
207	0.647233431
208	0.6471485435
209	0.6471399908
210	0.6470513215
211	0.6469827831
212	0.6469166885
213	0.6468738665
214	0.6468067828
215	0.6467256189
216	0.6466602224
217	0.646595175
218	0.6465407749
219	0.6464756693
220	0.646412251
221	0.646324629
222	0.6462545779
223	0.6461760323
224	0.6461176758
225	0.6460128901
226	0.6459490063
227	0.6458506206
228	0.645773995
229	0.6457041767
230	0.6456530929
231	0.6455908383
232	0.6455327727
233	0.645440147
234	0.6453946487
235	0.6453051067
236	0.6452330775
237	0.6451465609
238	0.6450717389
239	0.6450105315
240	0.6449580514
241	0.6449092367
242	0.6448208584
243	0.6447651782
244	0.6446962326
245	0.6446543998
246	0.6446213525
247	0.6445712578
248	0.6445298323
249	0.644465483
250	0.6444231266
251	0.64430909
252	0.6442446825
253	0.6441928424
254	0.6441564205
255	0.6440890458
256	0.6440144566
257	0.6439533655
258	0.643890529
259	0.6438141361
260	0.6437585142
261	0.6437049868
262	0.6436365067
263	0.643575532
264	0.6434881427
265	0.6434356626
266	0.6433549642
267	0.6432939314
268	0.643237844
269	0.643163022
270	0.6430808691
271	0.643028098
272	0.6429560688
273	0.6428731013
274	0.6427445192
275	0.6426919228
276	0.6426544536
277	0.6425731152
278	0.6425294206
279	0.6424399949
280	0.6423571438
281	0.6422928528
282	0.6422452599
283	0.6421589179
284	0.6421257542
285	0.6420900305
286	0.6420309758
287	0.6419868157
288	0.6419467866
289	0.6418869755
290	0.6418287936
291	0.6417942335
292	0.6417609534
293	0.6416826405
294	0.6416235277
295	0.641543702
296	0.6414954692
297	0.6414051126
298	0.6413547852
299	0.6412800796
300	0.6412185231
301	0.6411549884
302	0.6410955265
303	0.64105573
304	0.6410204136
305	0.640988239
306	0.640943148
307	0.6408942751
308	0.6408344641
309	0.6407821003
310	0.6407155402
311	0.6406539837
312	0.6406201218
313	0.6405882381
314	0.6405145798
315	0.6404907252
316	0.6404320196
317	0.6403819831
318	0.6403097793
319	0.6402623028
320	0.6401796845
321	0.6401366298
322	0.6401106225
323	0.6400566878
324	0.6399920477
325	0.639945793
326	0.639909953
327	0.6398346073
328	0.6397947527
329	0.6397379671
330	0.6396854288
331	0.6396584324
332	0.6396067087
333	0.6395591158
334	0.6395005848
335	0.6393949264
336	0.6393412826
337	0.6392971225
338	0.6392579661
339	0.6391982714
340	0.6391342131
341	0.639076962
342	0.6390536311
343	0.6389951
344	0.638932729
345	0.6388837398
346	0.6388328888
347	0.6387693541
348	0.638731594
349	0.6386188956
350	0.63858771
351	0.6385157972
352	0.6384677389
353	0.6384267206
354	0.638342764
355	0.6382571202
356	0.6381932946
357	0.6381511127
358	0.6380930471
359	0.6380245088
360	0.6379566105
361	0.6378941812
362	0.6378556648
363	0.6378149374
364	0.6377471555
365	0.6377025299
366	0.6376601734
367	0.6375960569
368	0.6375323477
369	0.6374888858
370	0.6374663112
371	0.6374115038
372	0.6373349364
373	0.6372565071
374	0.6372325361
375	0.6371709215
376	0.6370887104
377	0.6370292484
378	0.6369864265
379	0.6369238227
380	0.6368836772
381	0.6368463826
382	0.6367897715
383	0.6367499169
384	0.6366996477
385	0.6366411748
386	0.6366010293
387	0.63653412
388	0.6364888545
389	0.6364237489
390	0.6363800543
391	0.6363331596
392	0.6362820759
393	0.6362156321
394	0.6361567519
395	0.63610369
