iter	Passed	Remaining
0	3	3070
1	5	2935
2	8	2895
3	11	2952
4	15	3081
5	19	3165
6	22	3146
7	25	3208
8	27	3080
9	30	3024
10	33	2976
11	35	2914
12	37	2868
13	39	2810
14	42	2774
15	44	2734
16	46	2709
17	48	2670
18	51	2649
19	53	2619
20	55	2598
21	58	2585
22	60	2564
23	62	2538
24	64	2526
25	66	2507
26	68	2481
27	70	2463
28	73	2451
29	75	2433
30	77	2410
31	79	2391
32	82	2412
33	84	2400
34	86	2384
35	88	2369
36	90	2355
37	92	2344
38	94	2330
39	96	2314
40	98	2301
41	100	2292
42	102	2278
43	104	2268
44	106	2269
45	108	2259
46	110	2245
47	112	2233
48	114	2230
49	117	2228
50	119	2220
51	121	2211
52	123	2200
53	125	2190
54	126	2181
55	128	2170
56	130	2160
57	132	2149
58	134	2138
59	135	2130
60	137	2121
61	139	2116
62	141	2107
63	144	2108
64	146	2108
65	148	2106
66	151	2103
67	153	2105
68	155	2100
69	158	2100
70	160	2099
71	162	2096
72	164	2089
73	166	2084
74	168	2079
75	171	2079
76	173	2079
77	175	2078
78	177	2071
79	179	2067
80	181	2063
81	183	2059
82	186	2057
83	188	2059
84	191	2059
85	194	2064
86	196	2061
87	198	2062
88	201	2060
89	203	2060
90	205	2056
91	207	2052
92	210	2049
93	212	2045
94	214	2042
95	216	2038
96	218	2034
97	220	2032
98	223	2033
99	225	2030
100	227	2026
101	230	2025
102	232	2022
103	234	2020
104	236	2018
105	238	2013
106	240	2009
107	242	2004
108	244	1999
109	246	1994
110	248	1991
111	251	1993
112	253	1991
113	255	1987
114	257	1983
115	259	1979
116	261	1971
117	262	1965
118	265	1962
119	266	1957
120	269	1954
121	271	1954
122	273	1952
123	275	1949
124	277	1945
125	279	1940
126	281	1935
127	284	1934
128	286	1932
129	288	1931
130	290	1927
131	292	1924
132	294	1919
133	296	1916
134	298	1913
135	300	1910
136	302	1906
137	304	1902
138	306	1900
139	308	1897
140	310	1894
141	312	1890
142	314	1885
143	316	1883
144	319	1881
145	321	1878
146	323	1875
147	325	1871
148	327	1868
149	329	1864
150	331	1861
151	333	1858
152	334	1854
153	336	1850
154	338	1847
155	340	1844
156	342	1841
157	344	1837
158	346	1834
159	348	1831
160	350	1829
161	353	1826
162	355	1823
163	356	1819
164	359	1819
165	361	1816
166	363	1813
167	365	1810
168	367	1806
169	369	1803
170	371	1800
171	373	1798
172	375	1794
173	377	1790
174	379	1787
175	381	1784
176	383	1781
177	385	1779
178	387	1776
179	389	1773
180	391	1770
181	393	1767
182	395	1765
183	397	1763
184	399	1760
185	401	1757
186	403	1754
187	405	1752
188	407	1749
189	409	1746
190	411	1743
191	413	1741
192	416	1740
193	418	1737
194	420	1734
195	422	1731
196	424	1728
197	426	1725
198	428	1723
199	430	1722
200	432	1719
201	434	1716
202	436	1713
203	438	1711
204	440	1709
205	442	1706
206	444	1700
207	445	1698
208	447	1695
209	449	1690
210	451	1687
211	453	1684
212	455	1681
213	456	1678
214	458	1674
215	460	1671
216	462	1670
217	465	1670
218	467	1668
219	470	1668
220	472	1666
221	475	1666
222	478	1667
223	481	1667
224	484	1667
225	486	1666
226	489	1665
227	491	1663
228	494	1663
229	496	1663
230	499	1662
231	501	1660
232	504	1659
233	506	1657
234	508	1656
235	511	1654
236	513	1653
237	515	1652
238	518	1650
239	520	1649
240	522	1646
241	525	1644
242	528	1644
243	530	1643
244	533	1642
245	535	1641
246	538	1641
247	540	1639
248	543	1638
249	545	1636
250	547	1634
251	549	1631
252	551	1629
253	553	1626
254	555	1623
255	557	1620
256	560	1619
257	562	1618
258	564	1615
259	566	1612
260	568	1610
261	571	1608
262	573	1607
263	576	1606
264	578	1604
265	580	1602
266	582	1599
267	584	1597
268	586	1594
269	588	1592
270	590	1589
271	593	1588
272	595	1586
273	598	1585
274	600	1584
275	603	1581
276	605	1580
